Q45,Q46,Q57,Q184,Q218,Q254,source,tsne_x,tsne_y,tsne_x_3d,tsne_y_3d,tsne_z_3d
2.0,1.0,2.0,2.0,2.0,1.0,Survey,-64.82568,-1.0470511,-22.08039,-1.4723281,3.715273
1.0,2.0,2.0,2.0,1.0,2.0,Survey,-68.01429,15.376823,-26.510565,9.583825,1.9814491
3.0,2.0,1.0,6.0,1.0,1.0,Survey,-6.5014653,-41.855133,-3.774104,-8.964984,-8.393951
1.0,2.0,2.0,4.0,2.0,1.0,Survey,-35.583984,-37.00546,-14.314261,-8.26136,5.806929
3.0,2.0,1.0,10.0,1.0,2.0,Survey,37.39655,52.64919,12.3909445,10.466128,-8.909091
2.0,2.0,2.0,7.0,2.0,2.0,Survey,2.8008306,16.027885,-0.70750177,8.609094,-3.7762833
3.0,2.0,2.0,4.0,2.0,5.0,Survey,-28.396101,31.610735,-8.3522005,9.60181,1.6809363
2.0,2.0,1.0,5.0,1.0,1.0,Survey,-44.1835,-16.818653,-11.310059,-5.7077737,-5.536381
1.0,2.0,1.0,7.0,2.0,2.0,Survey,-6.891417,8.074848,-1.8919657,2.8127258,13.631644
2.0,3.0,1.0,5.0,1.0,2.0,Survey,-32.776657,18.790741,-11.963263,4.993954,-5.5742188
1.0,1.0,2.0,7.0,1.0,2.0,Survey,-11.288271,38.893185,-4.292283,13.545306,-13.003882
3.0,2.0,2.0,10.0,1.0,2.0,Survey,46.22572,47.85937,17.713326,7.2373104,-9.739929
2.0,2.0,2.0,10.0,2.0,2.0,Survey,42.257595,10.964455,15.832901,4.952034,1.9240451
2.0,2.0,2.0,10.0,1.0,2.0,Survey,49.79849,35.492283,21.095505,15.588251,-1.5984213
1.0,3.0,1.0,8.0,2.0,1.0,Survey,16.36805,-31.96783,5.903002,-7.689127,8.926744
2.0,2.0,2.0,8.0,1.0,1.0,Survey,21.366852,-59.426636,6.7848806,-4.868888,-16.66746
3.0,2.0,1.0,10.0,1.0,2.0,Survey,37.547466,52.589046,13.027811,10.572939,-8.593591
1.0,2.0,1.0,3.0,1.0,2.0,Survey,-57.69362,5.279044,-17.775082,-1.9888974,-2.3684654
1.0,2.0,2.0,5.0,1.0,1.0,Survey,-56.179195,-26.527304,-18.275465,-11.813948,-9.701047
2.0,2.0,1.0,6.0,1.0,2.0,Survey,-20.882927,17.937834,-6.506882,3.9935532,-4.974823
2.0,2.0,2.0,5.0,3.0,2.0,Survey,-28.796257,-0.99609834,-11.288345,1.2840048,7.577118
1.0,1.0,1.0,1.0,3.0,1.0,Survey,-79.94808,-6.0538335,-28.582182,-2.2011645,4.2006803
2.0,3.0,1.0,8.0,2.0,1.0,Survey,13.929742,-34.848396,5.249589,-11.306338,-1.410202
1.0,1.0,1.0,6.0,2.0,4.0,Survey,-23.662594,32.12894,-5.256304,8.972765,5.6241302
1.0,2.0,2.0,10.0,1.0,1.0,Survey,53.422718,-32.48079,23.513988,-3.8426979,10.244828
1.0,2.0,1.0,5.0,3.0,1.0,Survey,-32.3529,-27.771267,-10.5454035,-3.6437395,12.395358
3.0,2.0,2.0,10.0,1.0,5.0,Survey,27.69047,45.688087,11.758365,13.524991,-2.1294715
1.0,2.0,2.0,4.0,1.0,1.0,Survey,-55.743465,-19.356434,-18.28347,-8.408191,-6.9726567
2.0,2.0,2.0,8.0,1.0,1.0,Survey,21.042122,-60.11374,7.1886034,-4.566654,-15.745233
2.0,2.0,1.0,8.0,1.0,1.0,Survey,8.150733,-55.75676,6.448885,-13.909392,-15.00211
2.0,2.0,2.0,10.0,1.0,2.0,Survey,49.347496,35.66225,19.699364,14.948904,-1.937513
1.0,2.0,1.0,9.0,3.0,1.0,Survey,39.19382,-12.42653,10.719552,-3.7949586,7.7057304
1.0,1.0,1.0,8.0,1.0,1.0,Survey,29.051714,-44.385677,9.365637,-15.093642,8.479063
2.0,2.0,2.0,10.0,1.0,2.0,Survey,50.15315,35.546387,20.812183,14.963952,-2.3546157
1.0,3.0,2.0,8.0,2.0,2.0,Survey,14.039043,16.553818,3.4437532,7.3141985,8.679943
3.0,2.0,1.0,8.0,1.0,1.0,Survey,8.526314,-46.23686,4.7795453,-8.333904,-9.409061
1.0,2.0,2.0,9.0,2.0,3.0,Survey,35.636986,5.7217045,9.788658,6.1783824,9.249512
2.0,1.0,1.0,10.0,1.0,1.0,Survey,64.32785,-20.848585,19.622631,-10.642153,-3.663536
1.0,2.0,2.0,4.0,1.0,2.0,Survey,-45.043224,14.058128,-16.266443,4.3366284,-9.037171
2.0,2.0,1.0,3.0,2.0,2.0,Survey,-52.856968,3.5214658,-16.227701,1.2701683,0.6957956
2.0,1.0,1.0,10.0,1.0,1.0,Survey,63.829082,-21.128613,18.448544,-11.226119,-3.3335102
1.0,3.0,2.0,4.0,2.0,2.0,Survey,-39.363113,5.372087,-14.105731,5.0669003,8.078379
3.0,2.0,2.0,8.0,3.0,1.0,Survey,12.101609,-12.362892,3.5995865,-1.5439527,-0.13015004
2.0,2.0,1.0,4.0,1.0,1.0,Survey,-47.645897,-13.649307,-14.634532,-6.1497707,-4.8355384
2.0,2.0,2.0,7.0,2.0,1.0,Survey,4.072154,-14.374883,-0.3995275,-6.572691,2.7959983
1.0,2.0,2.0,4.0,2.0,1.0,Survey,-35.584057,-37.005352,-14.314342,-8.261113,5.8067937
1.0,3.0,2.0,7.0,2.0,2.0,Survey,4.7333264,8.5315075,0.61547285,7.3076563,9.7308855
3.0,2.0,2.0,8.0,1.0,1.0,Survey,17.64608,-7.3180494,5.5505276,-3.856526,-10.530013
2.0,2.0,2.0,5.0,2.0,5.0,Survey,-28.222813,33.606464,-8.4743805,9.952826,3.1297445
1.0,2.0,1.0,6.0,3.0,2.0,Survey,-10.947487,3.1010754,-4.9526696,0.66019905,10.84304
1.0,2.0,2.0,8.0,3.0,1.0,Survey,15.901774,-24.679758,4.393259,-3.8165033,10.669895
1.0,2.0,1.0,7.0,2.0,1.0,Survey,-2.0303237,-30.279333,-1.5497168,-15.34948,0.76104933
2.0,2.0,1.0,10.0,1.0,1.0,Survey,79.95896,-10.351392,27.076738,-4.4229965,-0.975216
2.0,2.0,2.0,8.0,1.0,2.0,Survey,7.073219,37.186283,5.3551908,8.692167,-12.067715
1.0,1.0,2.0,5.0,1.0,2.0,Survey,-46.712463,17.280941,-15.275222,1.9054414,-11.430386
1.0,3.0,2.0,1.0,2.0,1.0,Survey,-78.556046,6.2828217,-29.909546,4.6889033,1.9457749
1.0,1.0,2.0,5.0,3.0,1.0,Survey,-32.66021,-31.961895,-7.035892,-5.7678094,12.326515
1.0,2.0,1.0,5.0,1.0,1.0,Survey,-49.224598,-30.992132,-17.56694,-11.696689,-2.9471576
1.0,2.0,1.0,8.0,1.0,2.0,Survey,12.367679,56.64222,4.795887,5.8130555,18.763065
2.0,2.0,1.0,6.0,1.0,1.0,Survey,-9.666608,-42.019413,-5.495208,-11.128369,-8.144383
2.0,2.0,1.0,10.0,2.0,1.0,Survey,53.67406,-7.9785256,19.427183,-3.0446956,1.3527358
1.0,1.0,2.0,6.0,3.0,1.0,Survey,-19.603355,-30.40046,-5.4082017,-5.07169,11.89206
2.0,2.0,1.0,10.0,1.0,1.0,Survey,80.808945,-10.313691,26.673277,-3.793739,-0.06306874
1.0,2.0,2.0,5.0,1.0,4.0,Survey,-31.365208,32.482464,-10.833844,10.763905,2.3281898
2.0,1.0,1.0,8.0,1.0,1.0,Survey,18.75933,-46.58387,7.8955307,-13.051639,-7.8948984
2.0,2.0,2.0,5.0,1.0,1.0,Survey,-36.695545,-11.397666,-13.755967,-7.468462,-11.393453
1.0,2.0,1.0,5.0,1.0,1.0,Survey,-48.53883,-31.197184,-17.400045,-12.0285225,-2.5500083
1.0,1.0,1.0,7.0,1.0,1.0,Survey,-8.725611,-53.055218,-0.7497724,-16.923693,-5.5590014
2.0,1.0,2.0,4.0,3.0,2.0,Survey,-45.267582,-0.413507,-13.373812,0.21583761,6.9514437
2.0,3.0,1.0,5.0,2.0,2.0,Survey,-27.635056,4.917017,-10.281614,3.8452506,1.1596712
1.0,2.0,1.0,2.0,1.0,1.0,Survey,-64.399956,-7.85653,-23.094799,-3.786636,-1.1774586
1.0,2.0,1.0,8.0,2.0,1.0,Survey,18.769804,-31.989082,8.097479,-7.9416223,9.862042
2.0,2.0,2.0,7.0,2.0,2.0,Survey,3.0600502,15.606056,-0.68433887,8.636251,-3.303217
2.0,2.0,2.0,8.0,1.0,1.0,Survey,20.868183,-59.435184,6.814497,-5.45576,-16.33038
3.0,2.0,1.0,4.0,1.0,2.0,Survey,-46.99213,6.990361,-14.354137,4.919792,-2.9090421
1.0,1.0,1.0,5.0,1.0,1.0,Survey,-46.397533,-26.490858,-13.259479,-12.700762,-4.2486567
1.0,1.0,2.0,5.0,2.0,2.0,Survey,-31.668474,4.3336263,-8.702731,6.462946,9.968819
